"time";"stage"
1980-09-20 06:07:00;0.01
1980-09-20 08:22:00;0
1980-09-20 10:01:00;0.1
1980-09-20 12:04:00;0.13
1980-09-20 14:57:00;0.09
1980-09-20 19:39:00;0.05
1980-09-20 23:44:00;0.07
1980-09-21 06:00:00;-0.02
1980-09-21 09:53:00;-0.05
1980-09-21 13:09:00;-0.06
1980-09-21 14:23:00;2
1980-09-21 16:01:00;4.5
1980-09-21 18:37:00;5.85
1980-09-21 20:51:00;5.51
1980-09-21 23:21:00;4.5
1980-09-22 01:58:00;3.5
1980-09-22 04:06:00;3.1
1980-09-22 04:58:00;2.96
1980-09-22 06:40:00;2.9
1980-09-22 07:58:00;2.8
1980-09-22 08:42:00;2.79
1980-09-22 09:36:00;2.83
1980-09-22 11:29:00;3.07
1980-09-22 15:00:00;2.51
1980-09-22 16:49:00;2.31
1980-09-22 18:44:00;2.17
1980-09-22 21:02:00;2.01
1980-09-22 23:32:00;1.92
1980-09-23 02:05:00;1.84
1980-09-23 05:52:00;1.78
1980-09-23 11:47:00;1.67
1980-09-23 13:03:00;1.63
1980-09-23 20:41:00;1.5
1980-09-24 03:59:00;1.39
1980-09-24 16:20:00;1.26
1980-09-24 20:03:00;1.24
1980-09-24 22:26:00;1.25
1980-09-25 03:05:00;1.24
1980-09-25 07:53:00;1.19
1980-09-25 10:46:00;1.19
1980-09-25 14:23:00;1.17
1980-09-25 15:48:00;1.14
1980-09-25 19:20:00;1.14
1980-09-25 21:20:00;1.26
1980-09-25 22:14:00;1.28
1980-09-25 23:13:00;1.27
1980-09-26 03:12:00;1.1
1980-09-26 04:48:00;1.28
1980-09-26 05:52:00;1.28
1980-09-26 07:39:00;1.23
1980-09-26 11:03:00;1.2
1980-09-26 18:04:00;1.19
1980-09-27 05:45:00;1.17
1980-09-27 07:56:00;1.16
1980-09-28 03:15:00;1.14
1980-09-28 05:28:00;1.09
1980-09-28 08:35:00;1.05
1980-09-28 10:55:00;1.05
1980-09-28 12:41:00;1.01
1980-09-28 16:14:00;0.88
1980-09-28 21:59:00;0.63
1980-09-28 23:42:00;0.57
1980-09-29 00:53:00;0.57
1980-09-29 02:41:00;0.67
1980-09-29 04:10:00;0.67
1980-09-29 06:07:00;0.62
1980-09-29 08:34:00;0.56
1980-09-29 11:05:00;0.51
1980-09-29 12:43:00;0.82
1980-09-29 13:27:00;0.86
1980-09-29 14:26:00;0.85
1980-09-29 19:17:00;0.67
1980-09-29 20:18:00;0.65
1980-09-29 21:54:00;0.65
1980-09-29 22:56:00;0.7
